SubSystem;Name;CEID;Description;Available VIDs
GeminiFB;CarrierLoaded;1;Carrier was loaded.;20, 17, 37, 7
GeminiFB;CarrierUnloaded;2;Carrier was unloaded.;20, 17, 7
GeminiFB;EntityProcessed;3;ProcessEntity has been processed.;27, 28
GeminiFB;MaterialReceived;4;Carrier was placed.;20, 17
GeminiFB;MaterialRemoved;5;Carrier was removed.;20, 17
GeminiFB;MessageRecognition;6;Operator recognized an operator message from the host;
GeminiFB;OperatorCommandIssued;7;Operator issued a command while in remote control mode;19
GeminiFB;PPChangeEvent;8;Recipe was created/modified/deleted;21, 22
GeminiFB;UserChanged;9;Currently logged in user changed.;14, 13
GeminiFB;OffLine;10;;
GeminiFB;Local;11;;
GeminiFB;Remote;12;;
GeminiFB;ProcessingStateChange;13;;
GeminiFB;SpoolingActivated;32;Triggered when spooling is activated;
GeminiFB;SpoolingDeactivated;33;Triggered when spooling is deactivated;
GeminiFB;SpoolTransmitFailure;34;Triggered when transmission of spooled messages failed;
GeminiFB;ConfigurationParameterChanged;41;Event that is triggered when a equipment model configuration change has been saved.;55, 57, 58, 56, 54, 59
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.End;10001;Is triggered on end.;10036, 10012, 10043, 10048, 10047, 10049, 10051, 10052, 10050, 10018, 10017, 10016, 10019, 10034, 10033, 10032, 10035, 10030, 10029, 10028, 10031, 10046, 10045, 10044, 10039, 10038, 10037, 10042, 10041, 10040, 10055, 10054, 10053, 10058, 10057, 10056, 10061, 10060, 10059, 10064, 10063, 10062, 10003, 10002, 10001, 10004, 10015, 10014, 10013, 10011, 10010, 10009, 10007, 10006, 10005, 10008
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Start;10002;Is triggered on start.;10012, 10043, 10048, 10047, 10049, 10051, 10052, 10050
GeminiFB.PP1.A.CLM.CleaningProcess;CleaningProcess.End;10003;Is triggered on end.;10142, 10118, 10149, 10154, 10153, 10155, 10157, 10158, 10156, 10124, 10123, 10122, 10125, 10140, 10139, 10138, 10141, 10136, 10135, 10134, 10137, 10152, 10151, 10150, 10145, 10144, 10143, 10148, 10147, 10146, 10161, 10160, 10159, 10164, 10163, 10162, 10167, 10166, 10165, 10170, 10169, 10168, 10109, 10108, 10107, 10110, 10121, 10120, 10119, 10117, 10116, 10115, 10113, 10112, 10111, 10114
GeminiFB.PP1.A.CLM.CleaningProcess;CleaningProcess.Start;10004;Is triggered on start.;10118, 10149, 10154, 10153, 10155, 10157, 10158, 10156
GeminiFB.PP1.A.CLM.MaintenanceCleaningProcess;MaintenanceCleaningProcess.End;10005;Is triggered on end.;10478, 10454, 10485, 10490, 10489, 10491, 10493, 10494, 10492, 10460, 10459, 10458, 10461, 10476, 10475, 10474, 10477, 10472, 10471, 10470, 10473, 10488, 10487, 10486, 10481, 10480, 10479, 10484, 10483, 10482, 10497, 10496, 10495, 10500, 10499, 10498, 10503, 10502, 10501, 10506, 10505, 10504, 10445, 10444, 10443, 10446, 10457, 10456, 10455, 10453, 10452, 10451, 10449, 10448, 10447, 10450
GeminiFB.PP1.A.CLM.MaintenanceCleaningProcess;MaintenanceCleaningProcess.Start;10006;Is triggered on start.;10454, 10485, 10490, 10489, 10491, 10493, 10494, 10492
GeminiFB.PP1.A.CLM;ModuleServiceStateChanged;10007;Is triggered when the service state changed.;10508, 10512
GeminiFB.PP1.A.CLM;ModuleServiceSubstateChanged;10008;Is triggered when the service substate changed.;10509, 10513
GeminiFB.PP1.A.CLM;ProcessInfo.ProcessFinished;10009;Triggered when a process has finished;10521, 10518, 10526, 10528, 10530, 10519, 10527, 10529, 10531, 10525
GeminiFB.PP1.A.CLM;ProcessInfo.ProcessStarted;10010;Triggered when a process is started;10521, 10518, 10526, 10528, 10530, 10519, 10527, 10529, 10531, 10525
GeminiFB.PP1.A.CLM;ProcessInfo.RecipeStepFinished;10011;Triggered when a recipe step has finished;10524, 10523
GeminiFB.PP1.A.CLM;ProcessInfo.RecipeStepStarted;10012;Triggered when a recipe step is started;10524, 10523
GeminiFB.PP1.A.CLM;MachineOperation.InitializeModule.End;10637;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;10601
GeminiFB.PP1.A.CLM;MachineOperation.InitializeModule.Start;10638;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.A.CLM;MachineOperation.ShutDownModule.End;10639;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;10602
GeminiFB.PP1.A.CLM;MachineOperation.ShutDownModule.Start;10640;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP1.C.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.End;30001;Is triggered on end.;30036, 30012, 30043, 30048, 30047, 30049, 30051, 30052, 30050, 30018, 30017, 30016, 30019, 30034, 30033, 30032, 30035, 30030, 30029, 30028, 30031, 30046, 30045, 30044, 30039, 30038, 30037, 30042, 30041, 30040, 30055, 30054, 30053, 30058, 30057, 30056, 30061, 30060, 30059, 30064, 30063, 30062, 30003, 30002, 30001, 30004, 30015, 30014, 30013, 30011, 30010, 30009, 30007, 30006, 30005, 30008
