Subsystem;Alarm Description;ALID;SetEventCEID;ClearEventCEID;Alarm Code
GeminiFB;EPT database warning limit reached. Manual database cleanup necessary.;14;15;16;DataIntegrity
GeminiFB;ProcessDatabase warning limit reached. Manual database cleanup necessary.;17;18;19;DataIntegrity
GeminiFB;EventDatabase warning limit reached. Manual database cleanup necessary.;20;21;22;DataIntegrity
GeminiFB;Configuration validation failed: Errors were found;23;24;25;DataIntegrity
GeminiFB;DataRecording database warning limit reached. Manual database cleanup necessary.;26;27;28;DataIntegrity
GeminiFB;There is no tooling profile active. Select a tooling profile.;29;30;31;AttentionFlags
GeminiFB;Machine operation aborted by user.;35;36;37;IrrecoverableError
GeminiFB;Machine operation paused and waiting for user input.;38;39;40;AttentionFlags
GeminiFB.PP1.A.CLM;Error while waiting for pump vacuum;10013;10014;10015;ParameterControlError
GeminiFB.PP1.A.CLM;Required vacuum facilities for initialization are not available or correctly configured.;10016;10017;10018;ParameterControlError
GeminiFB.PP1.A.CLM;Bypass deactivated during maintenance;10019;10020;10021;AttentionFlags
GeminiFB.PP1.A.CLM;More then one substrate detected on station.;10022;10023;10024;IrrecoverableError
GeminiFB.PP1.A.CLM;The module is not docked.;10025;10026;10027;EquipmentSafety
GeminiFB.PP1.A.CLM;Error occurred during processing recipe;10028;10029;10030;ParameterControlError
GeminiFB.PP1.A.CLM;Error occured during preparation for process start;10031;10032;10033;ParameterControlError
GeminiFB.PP1.A.CLM.AlternativeFlowCleanupProcess;An unexpected failure occurred. Please contact EVG TechSupport.;10034;10035;10036;IrrecoverableError
GeminiFB.PP1.A.CLM.BowlwashSystem;Please run a bowlwash maintenance recipe at your earliest convenience in order to reset the bowlwash counter which currently exceeds the bowlwash counter limit.;10037;10038;10039;AttentionFlags
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter;Wait Flowmeter Volume Timeout.;10040;10041;10042;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow is undefined. Check flow meter and its settings.;10043;10044;10045;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too low (idle flow);10046;10047;10048;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too high (process flow);10049;10050;10051;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too high (idle flow);10052;10053;10054;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.BSRSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too low (process flow);10055;10056;10057;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter;Wait Flowmeter Volume Timeout.;10058;10059;10060;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow is undefined. Check flow meter and its settings.;10061;10062;10063;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too low (idle flow);10064;10065;10066;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too high (process flow);10067;10068;10069;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too high (idle flow);10070;10071;10072;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.ChamberDispenseSystem.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too low (process flow);10073;10074;10075;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.CleaningProcess;An unexpected failure occurred. Please contact EVG TechSupport.;10076;10077;10078;IrrecoverableError
GeminiFB.PP1.A.CLM;Custom limit of processed units exceeded.;10079;10080;10081;AttentionFlags
GeminiFB.PP1.A.CLM.DispenseSystem08;Periodic dispense cannot be performed - drainsystem is not OK.;10082;10083;10084;EquipmentSafety
GeminiFB.PP1.A.CLM.DispenseSystem08;Periodic dispense cannot be performed - supplysystem is not OK.;10085;10086;10087;EquipmentSafety
GeminiFB.PP1.A.CLM.DispenseSystem08;Periodic dispense cannot be performed - substrate is loaded.;10088;10089;10090;EquipmentSafety
GeminiFB.PP1.A.CLM.DispenseSystem08.PeriodicDispenseManager;Periodic dispense cannot be performed.;10091;10092;10093;EquipmentSafety
GeminiFB.PP1.A.CLM.DispenseArm.DispenseLine03.Flowmeter.FlowmeterMonitor;Flow is undefined. Check flow meter and its settings.;10094;10095;10096;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.DispenseArm.DispenseLine03.Flowmeter.FlowmeterMonitor;Flow too low (idle flow);10097;10098;10099;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.DispenseArm.DispenseLine03.Flowmeter.FlowmeterMonitor;Flow too high (process flow);10100;10101;10102;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.DispenseArm.DispenseLine03.Flowmeter.FlowmeterMonitor;Flow too high (idle flow);10103;10104;10105;EquipmentStatusWarning
GeminiFB.PP1.A.CLM.DispenseArm.DispenseLine03.Flowmeter.FlowmeterMonitor;Flow too low (process flow);10106;10107;10108;EquipmentStatusWarning
