Subsystem;Name;VID;DataType;VariableType;Unit;Description;HOST Changeable
GeminiFB;AlarmCode;1;U1;DataVariable;;Alarmcode of the last alarm which was set or cleared;not applicable
GeminiFB;AlarmID;2;U4;DataVariable;;ALID of the last alarm which was set or cleared;not applicable
GeminiFB;AlarmsEnabled;3;List;StatusVariable;;List containing ALIDs of all enabled alarms;not applicable
GeminiFB;AlarmsSet;4;List;StatusVariable;;List containing ALIDs of all alarms which are currently set;not applicable
GeminiFB;AlarmText;5;ASCII;DataVariable;;Alarmtext of the last alarm which was set or cleared;not applicable
GeminiFB;AnnotatedEventReport;6;Boolean;EquipmentConstant;;Value indicating the mode of sending collectionEvents: False=S6F11, True=S6F13 (with variableIDs contained in reports);False
GeminiFB;CarrierID;7;ASCII;DataVariable;;CarrierID after loading/unloading a placed carrier;not applicable
GeminiFB;Clock;8;ASCII;StatusVariable;;Variable which shows the current time;not applicable
GeminiFB;ClockOffsetTicks;9;I8;StatusVariable;;Variable which shows the current time offset;not applicable
GeminiFB;ControlCurrState;10;ASCII;StatusVariable;;StateId of the current state of the Control state machine  The value will correspond with the ControlState (with strings instead of numbers) with the exception of NoState;not applicable
GeminiFB;ControlPrevState;11;ASCII;StatusVariable;;StateId of the previous state of the Control state machine;not applicable
GeminiFB;ControlState;12;U1;StatusVariable;;State of the ControlState-statemachine: 1=OfflineEquipment, 2=AttemptOnline, 3=OfflineHost, 4=OnlineLocal, 5=OnlineRemote;not applicable
GeminiFB;CurrentUserGroup;13;ASCII;StatusVariable;;User group of currently logged in user.;not applicable
GeminiFB;CurrentUserName;14;ASCII;StatusVariable;;Name of currently logged in user.;not applicable
GeminiFB;EstablishCommunicationsTimeout;15;U2;EquipmentConstant;;Timeout in sec for establishing communication;False
GeminiFB;EventsEnabled;16;List;StatusVariable;;List containing CEIDs of all enabled events;not applicable
GeminiFB;LoadPortID;17;ASCII;DataVariable;;LoadPortID of the last Loadport-CollectionEvent;not applicable
GeminiFB;OperatingHours.Runtime;18;F8;StatusVariable;s;Specifies the runtime of the counter (a runtime of zero means infinite).;not applicable
